Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Number of Banks,Latency (cycles),Bandwidth (bytes/cycle)
24576,1,wormhole_b0,riscv_0,0,12,1121.0,21.923282783229258
49152,1,wormhole_b0,riscv_0,1024,12,1972.0,24.92494929006085
98304,1,wormhole_b0,riscv_0,2048,12,3542.0,27.75381140598532
196608,1,wormhole_b0,riscv_0,3072,12,6702.0,29.335720680393912
393216,1,wormhole_b0,riscv_0,4096,12,13022.0,30.196283213024113
786432,1,wormhole_b0,riscv_0,5120,12,26308.0,29.893264406264255
24576,4,wormhole_b0,riscv_0,6144,12,3559.0,27.62124192188817
49152,4,wormhole_b0,riscv_0,7168,12,6734.0,29.196317196317196
98304,4,wormhole_b0,riscv_0,8192,12,12951.0,30.361825341672457
196608,4,wormhole_b0,riscv_0,9216,12,25488.0,30.854990583804142
393216,4,wormhole_b0,riscv_0,10240,12,50623.0,31.070145981075797
786432,4,wormhole_b0,riscv_0,11264,12,101511.0,30.989035671011024
24576,16,wormhole_b0,riscv_0,12288,12,12983.0,30.28699068012016
49152,16,wormhole_b0,riscv_0,13312,12,25473.0,30.873159816276058
98304,16,wormhole_b0,riscv_0,14336,12,50821.0,30.94909584620531
196608,16,wormhole_b0,riscv_0,15360,12,101689.0,30.934791373698236
393216,16,wormhole_b0,riscv_0,16384,12,202020.0,31.142738342738344
786432,16,wormhole_b0,riscv_0,17408,12,404042.0,31.14258418679246
24576,64,wormhole_b0,riscv_0,18432,12,50595.0,31.087340646308924
49152,64,wormhole_b0,riscv_0,19456,12,101737.0,30.920196192142484
98304,64,wormhole_b0,riscv_0,20480,12,202140.0,31.124250519441972
196608,64,wormhole_b0,riscv_0,21504,12,404239.0,31.127407301126315
393216,64,wormhole_b0,riscv_0,22528,12,809799.0,31.076630126735154
786432,64,wormhole_b0,riscv_0,23552,12,1610977.0,31.242933946294702
24576,256,wormhole_b0,riscv_0,24576,12,201761.0,31.18271618399988
49152,256,wormhole_b0,riscv_0,25600,12,403790.0,31.162019861809355
98304,256,wormhole_b0,riscv_0,26624,12,808848.0,31.11316835796095
196608,256,wormhole_b0,riscv_0,27648,12,1614924.0,31.166573783038707
393216,256,wormhole_b0,riscv_0,28672,12,3225606.0,31.207560997840407
786432,256,wormhole_b0,riscv_0,29696,12,6427361.0,31.32336770876881
