Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Memory type,Mechanism,Pattern,Same axis,Stateful,Loopback,Number of subordinates,NoC Index,Latency (cycles),Bandwidth (bytes/cycle)
32,1,wormhole_b0,riscv_0,0,L1,unicast,one_to_one,True,True,False,0,0,218.0,0.14678899082568808
64,1,wormhole_b0,riscv_0,1024,L1,unicast,one_to_one,True,True,False,0,0,216.0,0.2962962962962963
128,1,wormhole_b0,riscv_0,2048,L1,unicast,one_to_one,True,True,False,0,0,217.0,0.5898617511520737
256,1,wormhole_b0,riscv_0,3072,L1,unicast,one_to_one,True,True,False,0,0,224.0,1.1428571428571428
512,1,wormhole_b0,riscv_0,4096,L1,unicast,one_to_one,True,True,False,0,0,243.0,2.1069958847736627
1024,1,wormhole_b0,riscv_0,5120,L1,unicast,one_to_one,True,True,False,0,0,250.0,4.096
2048,1,wormhole_b0,riscv_0,6144,L1,unicast,one_to_one,True,True,False,0,0,298.0,6.87248322147651
4096,1,wormhole_b0,riscv_0,7168,L1,unicast,one_to_one,True,True,False,0,0,384.0,10.666666666666666
8192,1,wormhole_b0,riscv_0,8192,L1,unicast,one_to_one,True,True,False,0,0,552.0,14.840579710144928
16384,1,wormhole_b0,riscv_0,9216,L1,unicast,one_to_one,True,True,False,0,0,813.0,20.152521525215253
32768,1,wormhole_b0,riscv_0,10240,L1,unicast,one_to_one,True,True,False,0,0,1363.0,24.041085840058695
65536,1,wormhole_b0,riscv_0,11264,L1,unicast,one_to_one,True,True,False,0,0,2390.0,27.42092050209205
32,4,wormhole_b0,riscv_0,12288,L1,unicast,one_to_one,True,True,False,0,0,275.0,0.46545454545454545
64,4,wormhole_b0,riscv_0,13312,L1,unicast,one_to_one,True,True,False,0,0,276.0,0.927536231884058
128,4,wormhole_b0,riscv_0,14336,L1,unicast,one_to_one,True,True,False,0,0,276.0,1.855072463768116
256,4,wormhole_b0,riscv_0,15360,L1,unicast,one_to_one,True,True,False,0,0,284.0,3.6056338028169015
512,4,wormhole_b0,riscv_0,16384,L1,unicast,one_to_one,True,True,False,0,0,302.0,6.781456953642384
1024,4,wormhole_b0,riscv_0,17408,L1,unicast,one_to_one,True,True,False,0,0,374.0,10.95187165775401
2048,4,wormhole_b0,riscv_0,18432,L1,unicast,one_to_one,True,True,False,0,0,542.0,15.114391143911439
4096,4,wormhole_b0,riscv_0,19456,L1,unicast,one_to_one,True,True,False,0,0,812.0,20.177339901477833
8192,4,wormhole_b0,riscv_0,20480,L1,unicast,one_to_one,True,True,False,0,0,1360.0,24.094117647058823
16384,4,wormhole_b0,riscv_0,21504,L1,unicast,one_to_one,True,True,False,0,0,2402.0,27.283930058284763
32768,4,wormhole_b0,riscv_0,22528,L1,unicast,one_to_one,True,True,False,0,0,4489.0,29.19848518601025
65536,4,wormhole_b0,riscv_0,23552,L1,unicast,one_to_one,True,True,False,0,0,8689.0,30.169639774427438
32,16,wormhole_b0,riscv_0,24576,L1,unicast,one_to_one,True,True,False,0,0,516.0,0.9922480620155039
64,16,wormhole_b0,riscv_0,25600,L1,unicast,one_to_one,True,True,False,0,0,515.0,1.9883495145631067
128,16,wormhole_b0,riscv_0,26624,L1,unicast,one_to_one,True,True,False,0,0,524.0,3.9083969465648853
256,16,wormhole_b0,riscv_0,27648,L1,unicast,one_to_one,True,True,False,0,0,523.0,7.831739961759082
