Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,NoC Index,Latency (cycles),Bandwidth (bytes/cycle)
1,16,wormhole_b0,riscv_0,24576,0,4285.5,0.0037335753557890183
2,16,wormhole_b0,riscv_0,25600,0,4216.0,0.007591619574957762
3,16,wormhole_b0,riscv_0,26624,0,4215.5,0.011388818533340086
4,16,wormhole_b0,riscv_0,27648,0,4205.5,0.015222088134867773
1,32,wormhole_b0,riscv_0,28672,0,8410.5,0.0038051164406405595
2,32,wormhole_b0,riscv_0,29696,0,8422.0,0.007599747782355309
3,32,wormhole_b0,riscv_0,30720,0,8431.5,0.011386561571660158
4,32,wormhole_b0,riscv_0,31744,0,8430.0,0.015184855178440343
1,64,wormhole_b0,riscv_0,32768,0,16873.5,0.003792988655356608
2,64,wormhole_b0,riscv_0,33792,0,16875.0,0.007585315706721845
3,64,wormhole_b0,riscv_0,34816,0,16862.5,0.011386471508678567
4,64,wormhole_b0,riscv_0,35840,0,16883.0,0.015163373412317797
1,16,wormhole_b0,riscv_0,36864,1,4250.5,0.0037642818318383143
2,16,wormhole_b0,riscv_0,37888,1,4237.5,0.00755196402859187
3,16,wormhole_b0,riscv_0,38912,1,4245.0,0.011307647023829078
4,16,wormhole_b0,riscv_0,39936,1,4239.0,0.01509851298880835
1,32,wormhole_b0,riscv_0,40960,1,8441.5,0.0037908328330401742
2,32,wormhole_b0,riscv_0,41984,1,8444.0,0.007579448437538898
3,32,wormhole_b0,riscv_0,43008,1,8454.0,0.011355648228327242
4,32,wormhole_b0,riscv_0,44032,1,8444.5,0.015157979999918664
1,64,wormhole_b0,riscv_0,45056,1,16866.5,0.0037945079831617234
2,64,wormhole_b0,riscv_0,46080,1,16882.0,0.007582041745271417
3,64,wormhole_b0,riscv_0,47104,1,16871.5,0.011380151785805565
4,64,wormhole_b0,riscv_0,48128,1,16873.0,0.015172180544047842
