RISC-V Processor,Kernel,Run Host ID,Transaction Size (bytes),Number of Transactions,Latency (cycles),Bandwidth (bytes/cycle)
riscv_1,Receiver,76800,32,1,845.5,0.03784744079343097
riscv_1,Receiver,77824,64,1,703.5,0.09097374886848572
riscv_1,Receiver,78848,128,1,703.0,0.1820771820771821
riscv_1,Receiver,79872,256,1,710.5,0.3603098195360631
riscv_1,Receiver,80896,512,1,725.0,0.7062068965517241
riscv_1,Receiver,81920,1024,1,734.5,1.3941514917848035
riscv_1,Receiver,82944,2048,1,773.0,2.6494178525226393
riscv_1,Receiver,83968,4096,1,844.0,4.8530873816392575
riscv_1,Receiver,84992,8192,1,990.0,8.274755917514454
riscv_1,Receiver,86016,16384,1,1415.0,11.578798586572438
riscv_1,Receiver,87040,32768,1,2292.5,14.293566655935166
riscv_1,Receiver,88064,65536,1,3968.0,16.516129032258064
riscv_1,Receiver,89088,131072,1,7480.5,17.521824112058002
riscv_1,Receiver,90112,262144,1,14147.0,18.530006361772813
riscv_1,Receiver,91136,524288,1,28254.5,18.55591150003253
riscv_1,Receiver,92160,32,4,1860.5,0.0687987149930954
riscv_1,Receiver,93184,64,4,1864.0,0.1373390953217662
riscv_1,Receiver,94208,128,4,1874.5,0.27313967877036144
riscv_1,Receiver,95232,256,4,1883.0,0.5438130642591609
riscv_1,Receiver,96256,512,4,1878.0,1.0905221409386134
riscv_1,Receiver,97280,1024,4,1968.0,2.081301350392187
riscv_1,Receiver,98304,2048,4,2088.0,3.9233716475095783
riscv_1,Receiver,99328,4096,4,2377.0,6.892723138307662
riscv_1,Receiver,100352,8192,4,2924.0,11.20656634746922
riscv_1,Receiver,101376,16384,4,4264.5,15.367804174209116
riscv_1,Receiver,102400,32768,4,6888.0,19.02903600464576
riscv_1,Receiver,103424,65536,4,12147.5,21.580078534441924
riscv_1,Receiver,104448,131072,4,22680.5,23.116245513550282
riscv_1,Receiver,105472,262144,4,43727.5,23.979783891992405
riscv_1,Receiver,106496,524288,4,85737.5,24.460148710556325
riscv_1,Receiver,107520,32,16,6484.5,0.07895751454145832
riscv_1,Receiver,108544,64,16,6492.5,0.1577204476046482
riscv_1,Receiver,109568,128,16,6487.0,0.315708339756436
riscv_1,Receiver,110592,256,16,6549.0,0.625439012902955
riscv_1,Receiver,111616,512,16,6507.5,1.2588552340000558
riscv_1,Receiver,112640,1024,16,6732.5,2.4335685243767475
riscv_1,Receiver,113664,2048,16,7348.0,4.459444829462756
riscv_1,Receiver,114688,4096,16,8413.5,7.789386353253098
riscv_1,Receiver,115712,8192,16,10730.0,12.21547074915572
riscv_1,Receiver,116736,16384,16,15447.5,16.969995304855704
riscv_1,Receiver,117760,32768,16,25247.0,20.766348477046776
riscv_1,Receiver,118784,65536,16,44732.0,23.441294822498435
riscv_1,Receiver,119808,131072,16,83780.0,25.031654336342545
riscv_1,Receiver,120832,262144,16,162861.0,25.75388828510202
riscv_1,Receiver,121856,524288,16,317049.5,26.458354295426318
riscv_1,Receiver,122880,32,64,24961.0,0.08204799500368766
riscv_1,Receiver,123904,64,64,25005.0,0.16380723855228954
riscv_1,Receiver,124928,128,64,25017.0,0.32745732901626895
riscv_1,Receiver,125952,256,64,25069.5,0.6535431503028506
riscv_1,Receiver,126976,512,64,25045.5,1.3083388280344406
riscv_1,Receiver,128000,1024,64,25961.5,2.524353377839401
riscv_1,Receiver,129024,2048,64,28115.5,4.661912469685875
riscv_1,Receiver,130048,4096,64,32737.5,8.007453228290155
riscv_1,Receiver,131072,8192,64,41802.0,12.542175015549494
riscv_1,Receiver,132096,16384,64,60854.0,17.23101193484657
riscv_1,Receiver,133120,32768,64,98331.0,21.327475576039895
riscv_1,Receiver,134144,65536,64,173855.0,24.125299819612707
riscv_1,Receiver,135168,131072,64,325298.5,25.787416788513823
riscv_1,Receiver,136192,262144,64,627644.0,26.730465040691858
riscv_1,Receiver,137216,524288,64,1233632.0,27.199709475759384
riscv_1,Receiver,138240,32,256,98880.5,0.082847477512851
riscv_1,Receiver,139264,64,256,100074.5,0.1637180300716865
riscv_1,Receiver,140288,128,256,99074.0,0.3307426771907867
riscv_1,Receiver,141312,256,256,99299.0,0.6599865054028742
riscv_1,Receiver,142336,512,256,99116.5,1.3224034343760673
riscv_1,Receiver,143360,1024,256,102722.0,2.5519752341270614
riscv_1,Receiver,144384,2048,256,113991.5,4.599360478720668
riscv_1,Receiver,145408,4096,256,129684.0,8.08562351562259
riscv_1,Receiver,146432,8192,256,163644.5,12.815291684227565
riscv_1,Receiver,147456,16384,256,240139.5,17.46611448769646
riscv_1,Receiver,148480,32768,256,392919.0,21.349458794306205
riscv_1,Receiver,149504,65536,256,696016.5,24.104623956484737
riscv_1,Receiver,150528,131072,256,1301129.0,25.788705040007564
riscv_1,Receiver,151552,262144,256,2513785.0,26.69634197037535
riscv_1,Receiver,152576,524288,256,4934862.5,27.19786579666858
