Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Grid Dimensions,Number of Cores,Total Bytes,Latency (cycles),Combined Bandwidth (bytes/cycle)
32,1,wormhole_b0,riscv_1,0,8x8,64,2048,1182.0,1.7326565143824026
64,1,wormhole_b0,riscv_1,1024,8x8,64,4096,1176.0,3.4829931972789114
128,1,wormhole_b0,riscv_1,2048,8x8,64,8192,1187.0,6.901432181971356
256,1,wormhole_b0,riscv_1,3072,8x8,64,16384,1328.0,12.337349397590362
512,1,wormhole_b0,riscv_1,4096,8x8,64,32768,1314.0,24.93759512937595
1024,1,wormhole_b0,riscv_1,5120,8x8,64,65536,1303.0,50.29623944742901
2048,1,wormhole_b0,riscv_1,6144,8x8,64,131072,1746.0,75.06987399770905
4096,1,wormhole_b0,riscv_1,7168,8x8,64,262144,2675.0,97.99775700934579
8192,1,wormhole_b0,riscv_1,8192,8x8,64,524288,5111.0,102.58031696341224
32,4,wormhole_b0,riscv_1,9216,8x8,64,8192,1355.0,6.0457564575645755
64,4,wormhole_b0,riscv_1,10240,8x8,64,16384,1329.0,12.328066215199398
128,4,wormhole_b0,riscv_1,11264,8x8,64,32768,1505.0,21.772757475083058
256,4,wormhole_b0,riscv_1,12288,8x8,64,65536,1348.0,48.61721068249258
512,4,wormhole_b0,riscv_1,13312,8x8,64,131072,1754.0,74.72748004561004
1024,4,wormhole_b0,riscv_1,14336,8x8,64,262144,2547.0,102.92265410286612
2048,4,wormhole_b0,riscv_1,15360,8x8,64,524288,4283.0,122.41139388279244
4096,4,wormhole_b0,riscv_1,16384,8x8,64,1048576,9858.0,106.36802596875634
8192,4,wormhole_b0,riscv_1,17408,8x8,64,2097152,18769.0,111.73488198625392
32,16,wormhole_b0,riscv_1,18432,8x8,64,32768,1841.0,17.79902227050516
64,16,wormhole_b0,riscv_1,19456,8x8,64,65536,1816.0,36.08810572687225
128,16,wormhole_b0,riscv_1,20480,8x8,64,131072,1824.0,71.85964912280701
256,16,wormhole_b0,riscv_1,21504,8x8,64,262144,2377.0,110.2835506941523
512,16,wormhole_b0,riscv_1,22528,8x8,64,524288,4141.0,126.6090316348708
1024,16,wormhole_b0,riscv_1,23552,8x8,64,1048576,8349.0,125.59300515031741
2048,16,wormhole_b0,riscv_1,24576,8x8,64,2097152,15846.0,132.34582860027768
4096,16,wormhole_b0,riscv_1,25600,8x8,64,4194304,34661.0,121.00931883096275
8192,16,wormhole_b0,riscv_1,26624,8x8,64,8388608,70094.0,119.67654863469056
32,64,wormhole_b0,riscv_1,27648,8x8,64,131072,3725.0,35.18711409395973
64,64,wormhole_b0,riscv_1,28672,8x8,64,262144,3830.0,68.44490861618799
128,64,wormhole_b0,riscv_1,29696,8x8,64,524288,5197.0,100.88281700981335
256,64,wormhole_b0,riscv_1,30720,8x8,64,1048576,7572.0,138.48071843634443
512,64,wormhole_b0,riscv_1,31744,8x8,64,2097152,14252.0,147.14790906539434
1024,64,wormhole_b0,riscv_1,32768,8x8,64,4194304,27726.0,151.27692418668397
2048,64,wormhole_b0,riscv_1,33792,8x8,64,8388608,59716.0,140.47504856319915
4096,64,wormhole_b0,riscv_1,34816,8x8,64,16777216,123378.0,135.98223346139505
8192,64,wormhole_b0,riscv_1,35840,8x8,64,33554432,262643.0,127.75681057557216
32,256,wormhole_b0,riscv_1,36864,8x8,64,524288,11452.0,45.78134823611596
64,256,wormhole_b0,riscv_1,37888,8x8,64,1048576,11444.0,91.62670394966794
128,256,wormhole_b0,riscv_1,38912,8x8,64,2097152,19640.0,106.779633401222
256,256,wormhole_b0,riscv_1,39936,8x8,64,4194304,29015.0,144.55640186110634
512,256,wormhole_b0,riscv_1,40960,8x8,64,8388608,54923.0,152.73397301676894
1024,256,wormhole_b0,riscv_1,41984,8x8,64,16777216,110920.0,151.25510277677606
2048,256,wormhole_b0,riscv_1,43008,8x8,64,33554432,230496.0,145.5748993474941
4096,256,wormhole_b0,riscv_1,44032,8x8,64,67108864,494445.0,135.7256398588316
8192,256,wormhole_b0,riscv_1,45056,8x8,64,134217728,1064418.0,126.09494390361681
