Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Latency (cycles),Bandwidth (GB/s),Clock Frequency (MHz)
32,100000,wormhole_b0,riscv_0,0,13690690.0,0.23373548009632825,1000
64,100000,wormhole_b0,riscv_0,1024,13901682.0,0.460375945874751,1000
128,100000,wormhole_b0,riscv_0,2048,14032627.0,0.912159925579152,1000
256,100000,wormhole_b0,riscv_0,3072,13477696.0,1.8994344433944792,1000
512,100000,wormhole_b0,riscv_0,4096,13193410.0,3.8807253014952163,1000
1024,100000,wormhole_b0,riscv_0,5120,13125958.0,7.801335338723467,1000
2048,100000,wormhole_b0,riscv_0,6144,13041807.0,15.703345402979817,1000
4096,100000,wormhole_b0,riscv_0,7168,16585614.0,24.696101090981617,1000
8192,100000,wormhole_b0,riscv_0,8192,32518262.0,25.19199826854215,1000
