Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Latency (cycles),Bandwidth (bytes/cycle)
32,1,wormhole_b0,riscv_1,0,378.0,0.08465608465608465
64,1,wormhole_b0,riscv_1,1024,378.0,0.1693121693121693
128,1,wormhole_b0,riscv_1,2048,387.0,0.330749354005168
256,1,wormhole_b0,riscv_1,3072,386.0,0.6632124352331606
512,1,wormhole_b0,riscv_1,4096,404.0,1.2673267326732673
1024,1,wormhole_b0,riscv_1,5120,418.0,2.449760765550239
2048,1,wormhole_b0,riscv_1,6144,465.0,4.404301075268817
4096,1,wormhole_b0,riscv_1,7168,548.0,7.474452554744525
8192,1,wormhole_b0,riscv_1,8192,714.0,11.473389355742297
32,4,wormhole_b0,riscv_1,9216,500.0,0.256
64,4,wormhole_b0,riscv_1,10240,452.0,0.5663716814159292
128,4,wormhole_b0,riscv_1,11264,460.0,1.1130434782608696
256,4,wormhole_b0,riscv_1,12288,500.0,2.048
512,4,wormhole_b0,riscv_1,13312,476.0,4.302521008403361
1024,4,wormhole_b0,riscv_1,14336,500.0,8.192
2048,4,wormhole_b0,riscv_1,15360,602.0,13.60797342192691
4096,4,wormhole_b0,riscv_1,16384,845.0,19.389349112426036
8192,4,wormhole_b0,riscv_1,17408,1364.0,24.023460410557185
32,16,wormhole_b0,riscv_1,18432,1078.0,0.4749536178107607
64,16,wormhole_b0,riscv_1,19456,958.0,1.068893528183716
128,16,wormhole_b0,riscv_1,20480,958.0,2.137787056367432
256,16,wormhole_b0,riscv_1,21504,966.0,4.24016563146998
512,16,wormhole_b0,riscv_1,22528,982.0,8.342158859470468
1024,16,wormhole_b0,riscv_1,23552,1024.0,16.0
2048,16,wormhole_b0,riscv_1,24576,1403.0,23.355666429080543
4096,16,wormhole_b0,riscv_1,25600,2438.0,26.88105004101723
8192,16,wormhole_b0,riscv_1,26624,4526.0,28.959787892178525
32,64,wormhole_b0,riscv_1,27648,2772.0,0.7388167388167388
64,64,wormhole_b0,riscv_1,28672,2773.0,1.4771006130544537
128,64,wormhole_b0,riscv_1,29696,2780.0,2.9467625899280576
256,64,wormhole_b0,riscv_1,30720,2780.0,5.893525179856115
512,64,wormhole_b0,riscv_1,31744,2796.0,11.719599427753934
1024,64,wormhole_b0,riscv_1,32768,2827.0,23.182171913689423
2048,64,wormhole_b0,riscv_1,33792,4560.0,28.743859649122808
4096,64,wormhole_b0,riscv_1,34816,8692.0,30.159226875287622
8192,64,wormhole_b0,riscv_1,35840,17004.0,30.83321571394966
32,256,wormhole_b0,riscv_1,36864,10275.0,0.7972749391727494
64,256,wormhole_b0,riscv_1,37888,10291.0,1.5920707414245456
128,256,wormhole_b0,riscv_1,38912,10283.0,3.1866186910434697
256,256,wormhole_b0,riscv_1,39936,10291.0,6.3682829656981825
512,256,wormhole_b0,riscv_1,40960,10355.0,12.65784645098986
1024,256,wormhole_b0,riscv_1,41984,10403.0,25.19888493703739
2048,256,wormhole_b0,riscv_1,43008,17167.0,30.540455525135435
4096,256,wormhole_b0,riscv_1,44032,33811.0,31.012865635444086
8192,256,wormhole_b0,riscv_1,45056,67120.0,31.24481525625745
32,1,wormhole_b0,riscv_0,0,392.0,0.08163265306122448
64,1,wormhole_b0,riscv_0,1024,393.0,0.1628498727735369
128,1,wormhole_b0,riscv_0,2048,388.0,0.32989690721649484
256,1,wormhole_b0,riscv_0,3072,407.0,0.628992628992629
512,1,wormhole_b0,riscv_0,4096,427.0,1.199063231850117
1024,1,wormhole_b0,riscv_0,5120,448.0,2.2857142857142856
2048,1,wormhole_b0,riscv_0,6144,488.0,4.19672131147541
4096,1,wormhole_b0,riscv_0,7168,577.0,7.098786828422877
8192,1,wormhole_b0,riscv_0,8192,743.0,11.02557200538358
32,4,wormhole_b0,riscv_0,9216,472.0,0.2711864406779661
64,4,wormhole_b0,riscv_0,10240,552.0,0.463768115942029
128,4,wormhole_b0,riscv_0,11264,490.0,1.0448979591836736
256,4,wormhole_b0,riscv_0,12288,498.0,2.0562248995983934
512,4,wormhole_b0,riscv_0,13312,519.0,3.9460500963391136
1024,4,wormhole_b0,riscv_0,14336,555.0,7.38018018018018
2048,4,wormhole_b0,riscv_0,15360,713.0,11.489481065918653
4096,4,wormhole_b0,riscv_0,16384,1019.0,16.078508341511284
8192,4,wormhole_b0,riscv_0,17408,1654.0,19.81136638452237
32,16,wormhole_b0,riscv_0,18432,1022.0,0.5009784735812133
64,16,wormhole_b0,riscv_0,19456,1024.0,1.0
128,16,wormhole_b0,riscv_0,20480,1030.0,1.9883495145631067
256,16,wormhole_b0,riscv_0,21504,1037.0,3.9498553519768564
512,16,wormhole_b0,riscv_0,22528,1061.0,7.721017907634307
1024,16,wormhole_b0,riscv_0,23552,1221.0,13.41850941850942
2048,16,wormhole_b0,riscv_0,24576,1514.0,21.64332892998679
4096,16,wormhole_b0,riscv_0,25600,2716.0,24.12960235640648
8192,16,wormhole_b0,riscv_0,26624,5260.0,24.918631178707223
32,64,wormhole_b0,riscv_0,27648,3132.0,0.6538952745849298
64,64,wormhole_b0,riscv_0,28672,2976.0,1.3763440860215055
128,64,wormhole_b0,riscv_0,29696,3013.0,2.718884832392964
256,64,wormhole_b0,riscv_0,30720,3019.0,5.426962570387546
512,64,wormhole_b0,riscv_0,31744,3001.0,10.919026991003
1024,64,wormhole_b0,riscv_0,32768,3037.0,21.57918999012183
2048,64,wormhole_b0,riscv_0,33792,4738.0,27.663993246095398
4096,64,wormhole_b0,riscv_0,34816,9475.0,27.666912928759896
8192,64,wormhole_b0,riscv_0,35840,20034.0,26.169911151043227
32,256,wormhole_b0,riscv_0,36864,10767.0,0.7608433175443484
64,256,wormhole_b0,riscv_0,37888,10771.0,1.5211215300343515
