Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Memory type,Mechanism,Pattern,Same axis,Stateful,Loopback,Number of subordinates,NoC Index,Latency (cycles),Bandwidth (bytes/cycle)
32,1,wormhole_b0,riscv_0,368640,DRAM Sharded,unicast,one_to_one,False,False,False,0,0,413.0,0.0774818401937046
64,1,wormhole_b0,riscv_0,369664,DRAM Sharded,unicast,one_to_one,False,False,False,0,0,413.0,0.1549636803874092
128,1,wormhole_b0,riscv_0,370688,DRAM Sharded,unicast,one_to_one,False,False,False,0,0,419.0,0.3054892601431981
256,1,wormhole_b0,riscv_0,371712,DRAM Sharded,unicast,one_to_one,False,False,False,0,0,427.0,0.5995316159250585
512,1,wormhole_b0,riscv_0,372736,DRAM Sharded,unicast,one_to_one,False,False,False,0,0,451.0,1.1352549889135255
1024,1,wormhole_b0,riscv_0,373760,DRAM Sharded,unicast,one_to_one,False,False,False,0,0,467.0,2.1927194860813706
2048,1,wormhole_b0,riscv_0,374784,DRAM Sharded,unicast,one_to_one,False,False,False,0,0,512.0,4.0
4096,1,wormhole_b0,riscv_0,375808,DRAM Sharded,unicast,one_to_one,False,False,False,0,0,596.0,6.87248322147651
8192,1,wormhole_b0,riscv_0,376832,DRAM Sharded,unicast,one_to_one,False,False,False,0,0,859.0,9.536670547147846
32,4,wormhole_b0,riscv_0,377856,DRAM Sharded,unicast,one_to_one,False,False,False,0,0,586.0,0.21843003412969283
64,4,wormhole_b0,riscv_0,378880,DRAM Sharded,unicast,one_to_one,False,False,False,0,0,624.0,0.41025641025641024
128,4,wormhole_b0,riscv_0,379904,DRAM Sharded,unicast,one_to_one,False,False,False,0,0,489.0,1.047034764826176
256,4,wormhole_b0,riscv_0,380928,DRAM Sharded,unicast,one_to_one,False,False,False,0,0,512.0,2.0
512,4,wormhole_b0,riscv_0,381952,DRAM Sharded,unicast,one_to_one,False,False,False,0,0,505.0,4.0554455445544555
1024,4,wormhole_b0,riscv_0,382976,DRAM Sharded,unicast,one_to_one,False,False,False,0,0,590.0,6.942372881355932
2048,4,wormhole_b0,riscv_0,384000,DRAM Sharded,unicast,one_to_one,False,False,False,0,0,767.0,10.68057366362451
4096,4,wormhole_b0,riscv_0,385024,DRAM Sharded,unicast,one_to_one,False,False,False,0,0,1098.0,14.92167577413479
8192,4,wormhole_b0,riscv_0,386048,DRAM Sharded,unicast,one_to_one,False,False,False,0,0,1951.0,16.795489492567913
32,16,wormhole_b0,riscv_0,387072,DRAM Sharded,unicast,one_to_one,False,False,False,0,0,1292.0,0.39628482972136225
64,16,wormhole_b0,riscv_0,388096,DRAM Sharded,unicast,one_to_one,False,False,False,0,0,1469.0,0.697072838665759
128,16,wormhole_b0,riscv_0,389120,DRAM Sharded,unicast,one_to_one,False,False,False,0,0,781.0,2.6222791293213827
256,16,wormhole_b0,riscv_0,390144,DRAM Sharded,unicast,one_to_one,False,False,False,0,0,868.0,4.71889400921659
512,16,wormhole_b0,riscv_0,391168,DRAM Sharded,unicast,one_to_one,False,False,False,0,0,813.0,10.076260762607626
1024,16,wormhole_b0,riscv_0,392192,DRAM Sharded,unicast,one_to_one,False,False,False,0,0,1100.0,14.894545454545455
2048,16,wormhole_b0,riscv_0,393216,DRAM Sharded,unicast,one_to_one,False,False,False,0,0,1958.0,16.73544433094995
4096,16,wormhole_b0,riscv_0,394240,DRAM Sharded,unicast,one_to_one,False,False,False,0,0,3388.0,19.343565525383706
8192,16,wormhole_b0,riscv_0,395264,DRAM Sharded,unicast,one_to_one,False,False,False,0,0,6525.0,20.08766283524904
32,64,wormhole_b0,riscv_0,396288,DRAM Sharded,unicast,one_to_one,False,False,False,0,0,4356.0,0.4701561065197429
64,64,wormhole_b0,riscv_0,397312,DRAM Sharded,unicast,one_to_one,False,False,False,0,0,4669.0,0.8772756478903405
128,64,wormhole_b0,riscv_0,398336,DRAM Sharded,unicast,one_to_one,False,False,False,0,0,2013.0,4.069547938400397
256,64,wormhole_b0,riscv_0,399360,DRAM Sharded,unicast,one_to_one,False,False,False,0,0,2359.0,6.9453158117846545
512,64,wormhole_b0,riscv_0,400384,DRAM Sharded,unicast,one_to_one,False,False,False,0,0,2007.0,16.326856003986048
1024,64,wormhole_b0,riscv_0,401408,DRAM Sharded,unicast,one_to_one,False,False,False,0,0,3476.0,18.85385500575374
2048,64,wormhole_b0,riscv_0,402432,DRAM Sharded,unicast,one_to_one,False,False,False,0,0,6356.0,20.621774701069857
4096,64,wormhole_b0,riscv_0,403456,DRAM Sharded,unicast,one_to_one,False,False,False,0,0,12269.0,21.366370527345342
8192,64,wormhole_b0,riscv_0,404480,DRAM Sharded,unicast,one_to_one,False,False,False,0,0,24115.0,21.741156956251295
32,256,wormhole_b0,riscv_0,405504,DRAM Sharded,unicast,one_to_one,False,False,False,0,0,16628.0,0.4926629781092134
64,256,wormhole_b0,riscv_0,406528,DRAM Sharded,unicast,one_to_one,False,False,False,0,0,16904.0,0.9692380501656412
128,256,wormhole_b0,riscv_0,407552,DRAM Sharded,unicast,one_to_one,False,False,False,0,0,6815.0,4.808217168011739
256,256,wormhole_b0,riscv_0,408576,DRAM Sharded,unicast,one_to_one,False,False,False,0,0,6796.0,9.643319599764567
512,256,wormhole_b0,riscv_0,409600,DRAM Sharded,unicast,one_to_one,False,False,False,0,0,6990.0,18.751359084406296
1024,256,wormhole_b0,riscv_0,410624,DRAM Sharded,unicast,one_to_one,False,False,False,0,0,12269.0,21.366370527345342
2048,256,wormhole_b0,riscv_0,411648,DRAM Sharded,unicast,one_to_one,False,False,False,0,0,24124.0,21.73304592936495
4096,256,wormhole_b0,riscv_0,412672,DRAM Sharded,unicast,one_to_one,False,False,False,0,0,48164.0,21.770949256706253
8192,256,wormhole_b0,riscv_0,413696,DRAM Sharded,unicast,one_to_one,False,False,False,0,0,95546.0,21.949134448328554
32,1,wormhole_b0,riscv_0,414720,DRAM Sharded,unicast,one_to_one,False,False,False,0,1,409.0,0.07823960880195599
64,1,wormhole_b0,riscv_0,415744,DRAM Sharded,unicast,one_to_one,False,False,False,0,1,416.0,0.15384615384615385
128,1,wormhole_b0,riscv_0,416768,DRAM Sharded,unicast,one_to_one,False,False,False,0,1,417.0,0.3069544364508393
256,1,wormhole_b0,riscv_0,417792,DRAM Sharded,unicast,one_to_one,False,False,False,0,1,433.0,0.5912240184757506
512,1,wormhole_b0,riscv_0,418816,DRAM Sharded,unicast,one_to_one,False,False,False,0,1,459.0,1.1154684095860568
1024,1,wormhole_b0,riscv_0,419840,DRAM Sharded,unicast,one_to_one,False,False,False,0,1,472.0,2.169491525423729
2048,1,wormhole_b0,riscv_0,420864,DRAM Sharded,unicast,one_to_one,False,False,False,0,1,523.0,3.915869980879541
4096,1,wormhole_b0,riscv_0,421888,DRAM Sharded,unicast,one_to_one,False,False,False,0,1,601.0,6.815307820299501
8192,1,wormhole_b0,riscv_0,422912,DRAM Sharded,unicast,one_to_one,False,False,False,0,1,769.0,10.652795838751626
