Transaction Size (bytes),Number of Transactions,Architecture,Mechanism,Memory Type,Pattern,RISC-V Processor,Run Host ID,Master Grid Dimensions,Subordinate Grid Dimensions,Number of Cores,Total Bytes,Latency (cycles),Combined Bandwidth (bytes/cycle)
1024,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,128000,2x2,1x1,4,65536,2728.0,24.023460410557185
2048,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,129024,2x2,1x1,4,131072,5016.0,26.130781499202552
4096,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,130048,2x2,1x1,4,262144,9612.0,27.27257594673325
8192,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,131072,2x2,1x1,4,524288,18802.0,27.88469311775343
16384,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,132096,2x2,1x1,4,1048576,37228.0,28.166326420973462
32768,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,133120,2x2,1x1,4,2097152,74203.0,28.26236136005283
65536,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,134144,2x2,1x1,4,4194304,147801.0,28.37804886299822
32,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,135168,2x2,1x1,4,32768,13296.0,2.4645006016847173
64,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,136192,2x2,1x1,4,65536,13296.0,4.929001203369435
128,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,137216,2x2,1x1,4,131072,13296.0,9.85800240673887
256,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,138240,2x2,1x1,4,262144,13311.0,19.693787093381413
512,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,139264,2x2,1x1,4,524288,19845.0,26.41914840010078
1024,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,140288,2x2,1x1,4,1048576,38743.0,27.064914952378494
2048,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,141312,2x2,1x1,4,2097152,74589.0,28.116102910616846
4096,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,142336,2x2,1x1,4,4194304,148567.0,28.23173383052764
8192,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,143360,2x2,1x1,4,8388608,295889.0,28.350523338143695
16384,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,144384,2x2,1x1,4,16777216,590362.0,28.4185228724071
