Transaction Size (bytes),Number of Transactions,Architecture,Mechanism,Memory Type,Pattern,RISC-V Processor,Run Host ID,Master Grid Dimensions,Subordinate Grid Dimensions,Number of Cores,Total Bytes,Latency (cycles),Combined Bandwidth (bytes/cycle)
512,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,212992,2x2,4x4,4,524288,166041.0,3.157581561180672
1024,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,214016,2x2,4x4,4,1048576,316008.0,3.318194476089213
2048,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,215040,2x2,4x4,4,2097152,624704.0,3.357033090871837
4096,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,216064,2x2,4x4,4,4194304,1247990.0,3.360847442687842
8192,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,217088,2x2,4x4,4,8388608,2414722.0,3.4739435843960504
16384,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,218112,2x2,4x4,4,16777216,4880790.0,3.4373976343993493
32768,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,219136,2x2,4x4,4,33554432,10331883.0,3.247658921418293
65536,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,220160,2x2,4x4,4,67108864,21975592.0,3.0537909513427444
32,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,221184,4x4,1x1,16,512,471.0,1.0870488322717622
64,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,222208,4x4,1x1,16,1024,444.0,2.3063063063063063
128,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,223232,4x4,1x1,16,2048,453.0,4.520971302428256
256,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,224256,4x4,1x1,16,4096,481.0,8.515592515592516
512,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,225280,4x4,1x1,16,8192,620.0,13.212903225806452
1024,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,226304,4x4,1x1,16,16384,913.0,17.94523548740416
2048,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,227328,4x4,1x1,16,32768,1507.0,21.74386197743862
4096,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,228352,4x4,1x1,16,65536,2669.0,24.554514799550393
8192,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,229376,4x4,1x1,16,131072,4926.0,26.60820138043037
16384,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,230400,4x4,1x1,16,262144,9504.0,27.58249158249158
32768,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,231424,4x4,1x1,16,524288,18721.0,28.005341595000267
65536,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,232448,4x4,1x1,16,1048576,37113.0,28.253603858486244
32,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,233472,4x4,1x1,16,8192,3367.0,2.433026433026433
64,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,234496,4x4,1x1,16,16384,3359.0,4.877642155403394
128,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,235520,4x4,1x1,16,32768,3362.0,9.746579417013683
256,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,236544,4x4,1x1,16,65536,3371.0,19.44111539602492
512,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,237568,4x4,1x1,16,131072,5188.0,25.264456437933692
1024,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,238592,4x4,1x1,16,262144,9813.0,26.713950881483747
2048,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,239616,4x4,1x1,16,524288,18827.0,27.84766558665746
4096,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,240640,4x4,1x1,16,1048576,37231.0,28.164056834358465
8192,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,241664,4x4,1x1,16,2097152,73917.0,28.37171422000352
16384,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,242688,4x4,1x1,16,4194304,147493.0,28.43730888923542
32768,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,243712,4x4,1x1,16,8388608,295062.0,28.429984206709097
65536,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,244736,4x4,1x1,16,16777216,588910.0,28.488590786368036
32,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,245760,4x4,1x1,16,131072,49505.0,2.6476517523482475
64,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,246784,4x4,1x1,16,262144,49451.0,5.301085923439365
128,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,247808,4x4,1x1,16,524288,49438.0,10.604959747562603
256,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,248832,4x4,1x1,16,1048576,49455.0,21.20262865231018
512,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,249856,4x4,1x1,16,2097152,78128.0,26.842514847429857
1024,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,250880,4x4,1x1,16,4194304,152649.0,27.476786615044972
2048,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,251904,4x4,1x1,16,8388608,296532.0,28.289048062266467
4096,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,252928,4x4,1x1,16,16777216,590882.0,28.39351342569244
8192,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,253952,4x4,1x1,16,33554432,1183798.0,28.344727732265135
16384,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,254976,4x4,1x1,16,67108864,2354756.0,28.499285700938866
32768,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,256000,4x4,1x1,16,134217728,4735294.0,28.34411717625136
65536,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,257024,4x4,1x1,16,268435456,9417632.0,28.503498119272447
32,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,258048,8x8,4x4,64,2048,1763.0,1.161656267725468
64,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,259072,8x8,4x4,64,4096,1753.0,2.33656588705077
128,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,260096,8x8,4x4,64,8192,1849.0,4.430502974580855
256,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,261120,8x8,4x4,64,16384,2779.0,5.895645915797049
512,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,262144,8x8,4x4,64,32768,4762.0,6.881142377152457
1024,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,263168,8x8,4x4,64,65536,8839.0,7.41441339518045
2048,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,264192,8x8,4x4,64,131072,16718.0,7.840172269410217
4096,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,265216,8x8,4x4,64,262144,35019.0,7.485764870498872
8192,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,266240,8x8,4x4,64,524288,69290.0,7.56657526338577
16384,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,267264,8x8,4x4,64,1048576,148829.0,7.04550860383393
32768,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,268288,8x8,4x4,64,2097152,314148.0,6.675681525904987
65536,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,269312,8x8,4x4,64,4194304,817724.0,5.129241651217281
32,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,270336,8x8,4x4,64,32768,23780.0,1.377964676198486
64,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,271360,8x8,4x4,64,65536,23486.0,2.790428340287831
128,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,272384,8x8,4x4,64,131072,28343.0,4.624492820096673
256,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,273408,8x8,4x4,64,262144,43966.0,5.962425510621844
512,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,274432,8x8,4x4,64,524288,80642.0,6.501426055901391
1024,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,275456,8x8,4x4,64,1048576,184973.0,5.668805717591216
2048,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,276480,8x8,4x4,64,2097152,370128.0,5.666018242337786
4096,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,277504,8x8,4x4,64,4194304,829018.0,5.059364211633523
8192,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,278528,8x8,4x4,64,8388608,1468142.0,5.713757933496896
16384,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,279552,8x8,4x4,64,16777216,3150470.0,5.325305748031246
32768,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,280576,8x8,4x4,64,33554432,6094278.0,5.5058912639036155
65536,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,281600,8x8,4x4,64,67108864,11451779.0,5.860125662571728
32,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,282624,8x8,4x4,64,524288,423874.0,1.2368958699991035
64,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,283648,8x8,4x4,64,1048576,427587.0,2.452310290069623
128,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,284672,8x8,4x4,64,2097152,448717.0,4.673662910030153
256,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,285696,8x8,4x4,64,4194304,737888.0,5.684201396417884
512,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,286720,8x8,4x4,64,8388608,1383286.0,6.064261475934839
1024,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,287744,8x8,4x4,64,16777216,2733236.0,6.138224434333515
2048,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,288768,8x8,4x4,64,33554432,5458269.0,6.147449310394926
4096,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,289792,8x8,4x4,64,67108864,10721725.0,6.2591480382121345
8192,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,290816,8x8,4x4,64,134217728,21609560.0,6.211034745732907
16384,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,291840,8x8,4x4,64,268435456,42554223.0,6.3080803049793674
32768,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,292864,8x8,4x4,64,536870912,87301402.0,6.149625317586538
65536,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,293888,8x8,4x4,64,1073741824,179725313.0,5.974349445144658
32,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,294912,4x4,8x8,16,512,3315.0,0.15444947209653093
64,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,295936,4x4,8x8,16,1024,3282.0,0.3120048750761731
128,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,296960,4x4,8x8,16,2048,3364.0,0.6087990487514863
256,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,297984,4x4,8x8,16,4096,3752.0,1.091684434968017
512,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,299008,4x4,8x8,16,8192,4884.0,1.6773136773136774
1024,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,300032,4x4,8x8,16,16384,8924.0,1.835948005378754
2048,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,301056,4x4,8x8,16,32768,17427.0,1.8803006828484536
4096,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,302080,4x4,8x8,16,65536,32981.0,1.9870834723022346
8192,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,303104,4x4,8x8,16,131072,103808.0,1.2626387176325524
16384,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,304128,4x4,8x8,16,262144,209213.0,1.2530005305597645
32768,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,305152,4x4,8x8,16,524288,399047.0,1.3138502482163754
65536,1,wormhole_b0,unicast,l1,all_from_all,riscv_1,306176,4x4,8x8,16,1048576,922457.0,1.1367207360343083
32,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,307200,4x4,8x8,16,8192,37963.0,0.2157890577667729
64,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,308224,4x4,8x8,16,16384,37889.0,0.43242101929319854
128,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,309248,4x4,8x8,16,32768,40228.0,0.8145570249577408
256,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,310272,4x4,8x8,16,65536,63350.0,1.0345067087608524
512,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,311296,4x4,8x8,16,131072,99739.0,1.3141499313207472
1024,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,312320,4x4,8x8,16,262144,230855.0,1.1355352927162072
2048,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,313344,4x4,8x8,16,524288,426129.0,1.2303504337888291
4096,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,314368,4x4,8x8,12,786432,942620.0,0.8343043856485116
8192,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,315392,4x4,8x8,12,1572864,1814716.0,0.8667273556854075
16384,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,316416,4x4,8x8,12,3145728,3903698.0,0.805832828256694
32768,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,317440,4x4,8x8,12,6291456,8284744.0,0.7594025838336103
65536,16,wormhole_b0,unicast,l1,all_from_all,riscv_1,318464,4x4,8x8,12,12582912,13977041.0,0.9002557837527986
32,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,319488,4x4,8x8,12,98304,603329.0,0.1629359768882318
64,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,320512,4x4,8x8,12,196608,622219.0,0.31597877917582073
128,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,321536,4x4,8x8,12,393216,714539.0,0.5503072610452333
256,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,322560,4x4,8x8,12,786432,1062026.0,0.7405016449691438
512,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,323584,4x4,8x8,12,1572864,1675607.0,0.9386831160289972
1024,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,324608,4x4,8x8,12,3145728,3377929.0,0.9312593603950823
2048,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,325632,4x4,8x8,12,6291456,6420959.0,0.9798312058993057
4096,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,326656,4x4,8x8,12,12582912,12514844.0,1.0054389811011628
8192,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,327680,4x4,8x8,12,25165824,25028859.0,1.0054722830153784
16384,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,328704,4x4,8x8,12,50331648,49899055.0,1.008669362576105
32768,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,329728,4x4,8x8,12,100663296,100739706.0,0.9992415105916629
65536,256,wormhole_b0,unicast,l1,all_from_all,riscv_1,330752,4x4,8x8,12,201326592,215054241.0,0.9361665739016977
