Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Memory type,Mechanism,Pattern,Same axis,Stateful,Loopback,Number of subordinates,NoC Index,Latency (cycles),Bandwidth (bytes/cycle)
32,1,wormhole_b0,riscv_1,0,DRAM Sharded,unicast,one_from_one,False,False,False,0,0,396.0,0.08080808080808081
64,1,wormhole_b0,riscv_1,1024,DRAM Sharded,unicast,one_from_one,False,False,False,0,0,396.0,0.16161616161616163
128,1,wormhole_b0,riscv_1,2048,DRAM Sharded,unicast,one_from_one,False,False,False,0,0,556.0,0.2302158273381295
256,1,wormhole_b0,riscv_1,3072,DRAM Sharded,unicast,one_from_one,False,False,False,0,0,404.0,0.6336633663366337
512,1,wormhole_b0,riscv_1,4096,DRAM Sharded,unicast,one_from_one,False,False,False,0,0,420.0,1.2190476190476192
1024,1,wormhole_b0,riscv_1,5120,DRAM Sharded,unicast,one_from_one,False,False,False,0,0,436.0,2.3486238532110093
2048,1,wormhole_b0,riscv_1,6144,DRAM Sharded,unicast,one_from_one,False,False,False,0,0,477.0,4.29350104821803
4096,1,wormhole_b0,riscv_1,7168,DRAM Sharded,unicast,one_from_one,False,False,False,0,0,565.0,7.249557522123894
8192,1,wormhole_b0,riscv_1,8192,DRAM Sharded,unicast,one_from_one,False,False,False,0,0,732.0,11.191256830601093
32,4,wormhole_b0,riscv_1,9216,DRAM Sharded,unicast,one_from_one,False,False,False,0,0,445.0,0.2876404494382023
64,4,wormhole_b0,riscv_1,10240,DRAM Sharded,unicast,one_from_one,False,False,False,0,0,605.0,0.4231404958677686
128,4,wormhole_b0,riscv_1,11264,DRAM Sharded,unicast,one_from_one,False,False,False,0,0,461.0,1.1106290672451193
256,4,wormhole_b0,riscv_1,12288,DRAM Sharded,unicast,one_from_one,False,False,False,0,0,477.0,2.146750524109015
512,4,wormhole_b0,riscv_1,13312,DRAM Sharded,unicast,one_from_one,False,False,False,0,0,477.0,4.29350104821803
1024,4,wormhole_b0,riscv_1,14336,DRAM Sharded,unicast,one_from_one,False,False,False,0,0,581.0,7.049913941480207
2048,4,wormhole_b0,riscv_1,15360,DRAM Sharded,unicast,one_from_one,False,False,False,0,0,918.0,8.923747276688454
