Transaction Size (bytes),Number of Transactions,Architecture,RISC-V Processor,Run Host ID,Mechanism,Pattern,Number of subordinates,Memory type,Stateful,Same axis,Loopback,NoC Index,Number of Cores,Total Bytes,Latency (cycles),Combined Bandwidth (bytes/cycle)
32,1,wormhole_b0,riscv_1,92160,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,64,2048,1161.0,1.7639965546942291
64,1,wormhole_b0,riscv_1,93184,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,64,4096,1150.0,3.5617391304347827
128,1,wormhole_b0,riscv_1,94208,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,64,8192,1114.0,7.353680430879713
256,1,wormhole_b0,riscv_1,95232,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,64,16384,1151.0,14.234578627280625
512,1,wormhole_b0,riscv_1,96256,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,64,32768,1262.0,25.96513470681458
1024,1,wormhole_b0,riscv_1,97280,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,64,65536,1250.0,52.4288
2048,1,wormhole_b0,riscv_1,98304,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,64,131072,1473.0,88.98302783435166
4096,1,wormhole_b0,riscv_1,99328,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,64,262144,1914.0,136.96133751306166
8192,1,wormhole_b0,riscv_1,100352,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,64,524288,3269.0,160.38176812480881
32,4,wormhole_b0,riscv_1,101376,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,64,8192,1224.0,6.69281045751634
64,4,wormhole_b0,riscv_1,102400,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,64,16384,1231.0,13.309504467912266
128,4,wormhole_b0,riscv_1,103424,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,64,32768,1242.0,26.383252818035427
256,4,wormhole_b0,riscv_1,104448,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,64,65536,1224.0,53.54248366013072
512,4,wormhole_b0,riscv_1,105472,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,64,131072,1457.0,89.9601921757035
1024,4,wormhole_b0,riscv_1,106496,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,64,262144,1948.0,134.57084188911705
2048,4,wormhole_b0,riscv_1,107520,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,64,524288,3606.0,145.3932334997227
4096,4,wormhole_b0,riscv_1,108544,DRAM Sharded,unicast,all_from_all,False,False,False,0,0,64,1048576,6277.0,167.0505018320854
